id ra dec hi_size line_flux_integral central_freq pa i w20
203 0.9613611111111111 32.538888888888884 165 0.69 7364 180 45 182
204 0.9640277777777777 31.489444444444445 178 0.8 5029 180 45 205
205 0.966 31.915555555555553 131 0.72 5171 180 45 170
206 0.9768888888888889 31.357222222222223 42 0.55 5320 180 45 96
207 0.98325 31.173333333333336 119 0.81 4494 180 45 135
208 0.9925833333333333 31.800555555555555 151 1.9 4615 180 45 192
209 0.9938888888888888 35.56111111111111 196 5.4 2354 180 45 219
210 0.9984166666666666 31.825555555555557 236 3.33 4453 180 45 252
211 0.9991111111111111 31.974444444444444 106 1.07 4737 180 45 121
212 1.0035277777777778 35.28861111111111 293 2.44 7781 180 45 325
213 1.0035555555555555 32.10916666666667 103 0.67 4251 180 45 116
214 1.0046111111111111 31.0 131 0.89 6577 180 45 145
215 1.0053611111111111 31.466944444444444 70 0.91 5626 180 45 111
216 1.0081944444444444 31.450277777777778 134 1.94 6458 180 45 169
217 1.0104444444444445 31.602500000000003 104 0.74 5698 180 45 120
218 1.016138888888889 31.231111111111108 164 1.2 5218 180 45 182
219 1.0185833333333332 31.066666666666666 242 1.14 6714 180 45 248
220 1.0206944444444443 31.24416666666667 132 1.49 5895 180 45 159
221 1.0216944444444445 31.28888888888889 75 1.51 5928 180 45 102
222 1.0225555555555554 31.5075 389 7.09 5578 180 45 421
223 1.0235555555555556 31.040000000000003 188 0.89 5019 180 45 211
224 1.0245277777777777 31.197777777777777 179 1.38 5191 180 45 205
225 1.0275833333333333 35.712500000000006 142 1.25 7744 180 45 156
226 1.0302222222222222 31.22972222222222 187 2.94 4904 180 45 223
227 1.0346944444444446 35.93444444444444 123 0.74 2236 180 45 137
228 1.0369166666666667 31.3375 129 1.63 4889 180 45 161
229 1.0421666666666667 34.27916666666667 283 3.66 11337 180 45 317
230 1.0438333333333334 31.546666666666667 120 2.23 5625 180 45 136
231 1.0441666666666667 31.775555555555556 170 1.69 5342 180 45 187
232 1.0443611111111113 35.90888888888889 57 1.55 2205 180 45 88
233 1.0522222222222222 35.4525 219 1.26 10436 180 45 251
234 1.0567777777777778 34.16916666666666 150 1.42 11243 180 45 159
235 1.0608611111111113 31.052777777777777 162 1.37 10480 180 45 177
236 1.0615833333333333 32.044999999999995 421 1.25 5236 180 45 427
237 1.06375 31.2 262 2.33 6261 180 45 281
238 1.0665277777777777 32.95944444444445 138 2.37 4972 180 45 150
239 1.0736666666666665 31.305 29 2.56 5582 180 45 44
240 1.074138888888889 31.05666666666667 203 0.9 10539 180 45 218
241 1.0764722222222223 35.74111111111111 121 0.6 4566 180 45 149
242 1.0775833333333333 32.330000000000005 52 0.68 4724 180 45 82
243 1.078361111111111 34.16611111111111 58 0.6 10629 180 45 102
244 1.079 32.96027777777778 261 0.88 4113 180 45 274
245 1.0863055555555554 33.27166666666667 145 0.83 6115 180 45 166
246 1.0890555555555554 31.68138888888889 297 1.82 5839 180 45 322
247 1.0899444444444444 32.18444444444444 166 1.19 5367 180 45 185
248 1.0932499999999998 31.019444444444442 222 1.78 6773 180 45 244
249 1.0949166666666665 33.40833333333333 98 0.66 4982 180 45 108
250 1.0955 34.99027777777778 260 1.72 12134 180 45 272
251 1.097722222222222 33.06861111111112 142 0.97 4614 180 45 158
252 1.098472222222222 33.528055555555554 184 1.57 4332 180 45 198
253 1.1029444444444445 31.403055555555554 283 3.87 6245 180 45 300
254 1.1059444444444446 35.38472222222222 199 1.03 11941 180 45 228
255 1.106638888888889 33.775 157 1.61 4578 180 45 169
256 1.1066944444444444 33.60166666666667 182 1.75 4301 180 45 204
257 1.1177222222222223 32.393055555555556 188 2.18 5106 180 45 213
258 1.1181944444444445 31.400277777777777 159 1.61 6282 180 45 174
259 1.1221944444444445 31.36527777777778 158 1.23 6602 180 45 177
260 1.1264166666666666 32.08583333333333 475 2.93 14706 180 45 512
261 1.1263888888888889 34.03138888888889 180 2.11 4526 180 45 190
262 1.1266666666666667 32.93722222222222 157 2.36 5780 180 45 171
263 1.1321666666666668 33.301944444444445 134 2.13 4210 180 45 165
264 1.1337777777777778 31.6875 31 0.4 5466 180 45 44
265 1.1358055555555555 31.4025 199 1.3 6675 180 45 208
266 1.144861111111111 33.46666666666667 499 4.63 12454 180 45 517
267 1.1477777777777778 32.39805555555556 79 0.59 4675 180 45 93
268 1.1480833333333333 32.098888888888894 69 1.19 10431 180 45 88
269 1.150222222222222 33.50833333333333 384 1.84 11300 180 45 393
270 1.1536388888888889 32.14805555555556 228 1.72 4634 180 45 244
271 1.1540555555555554 31.09722222222222 29 0.39 5483 180 45 57
272 1.15475 33.47916666666667 296 3.63 10582 180 45 326
273 1.1555555555555554 32.71944444444445 149 1.42 10434 180 45 207
274 1.1604999999999999 35.55888888888889 178 0.8 10275 180 45 210
275 1.1611388888888887 34.495 166 1.73 4941 180 45 193
276 1.1624444444444444 31.14 191 1.78 6503 180 45 215
277 1.1665833333333333 32.36972222222222 322 6.36 5177 180 45 337
278 1.1669444444444446 32.91611111111111 266 3.83 10427 180 45 297
279 1.170111111111111 33.93222222222222 185 1.28 11301 180 45 201
280 1.170138888888889 33.65 247 1.51 11327 180 45 265
281 1.175361111111111 33.91305555555555 202 1.49 11349 180 45 221
282 1.1755833333333334 32.95194444444445 140 1.74 4464 180 45 160
283 1.1785277777777778 33.03527777777778 183 1.04 4673 180 45 198
284 1.1786111111111113 33.56111111111111 265 2.88 5437 180 45 277
285 1.1849166666666666 33.83222222222223 135 1.02 4551 180 45 163
286 1.1881388888888889 31.7375 114 4.98 5756 180 45 144
287 1.1931944444444444 35.888333333333335 133 1.51 9789 180 45 173
288 1.196 35.275 301 9.74 4851 180 45 322
289 1.1975277777777777 36.029444444444444 168 1.77 9741 180 45 190
290 1.1982222222222223 32.47027777777778 176 0.67 4945 180 45 193
291 1.1989166666666666 33.03527777777778 96 1.31 4105 180 45 120
292 1.1999166666666667 31.9525 155 1.21 6707 180 45 170
293 1.2025 32.0025 234 1.17 5243 180 45 267
294 1.2028333333333332 32.12083333333334 258 1.29 5013 180 45 274
295 1.208222222222222 31.990555555555556 222 1.12 10456 180 45 233
296 1.2079722222222222 32.845555555555556 116 0.7 5773 180 45 135
297 1.2080833333333334 33.33916666666667 98 1.89 4924 180 45 122
298 1.2117222222222221 32.97361111111111 211 2.18 5338 180 45 229
299 1.2157499999999999 33.84055555555556 266 1.96 14994 180 45 313
300 1.2189166666666669 31.585555555555555 329 1.88 16621 180 45 382
301 1.219888888888889 34.95638888888889 226 1.71 4738 180 45 258
302 1.230777777777778 35.1175 101 1.19 9818 180 45 148
303 1.2410277777777778 34.06027777777778 67 1.01 4257 180 45 78
304 1.2418333333333333 32.665277777777774 144 0.77 6687 180 45 150
305 1.243 32.527499999999996 120 0.57 6749 180 45 136
306 1.245277777777778 33.106944444444444 129 0.91 6690 180 45 137
307 1.2485000000000002 31.27638888888889 86 1.16 2298 180 45 106
308 1.2520833333333334 33.38333333333333 142 2.37 4786 180 45 167
309 1.2523055555555556 33.78333333333333 241 0.94 4455 180 45 254
310 1.2601666666666667 33.073888888888895 193 2.79 5599 180 45 208
311 1.26075 31.65111111111111 69 1.17 10350 180 45 100
312 1.263111111111111 31.825555555555557 83 0.72 4479 180 45 128
313 1.263861111111111 31.078333333333333 255 5.42 4836 180 45 268
314 1.2640277777777778 33.81666666666667 291 5.29 4202 180 45 329
315 1.2696388888888888 33.072500000000005 258 2.84 4849 180 45 286
316 1.2709166666666667 31.0375 465 8.56 4965 180 45 489
317 1.2790277777777777 31.688055555555557 262 1.21 16217 180 45 280
318 1.2808888888888887 32.23277777777778 124 0.89 10408 180 45 133
319 1.2889444444444442 32.717222222222226 155 0.94 11162 180 45 168
320 1.290333333333333 32.92944444444444 225 1.3 11190 180 45 252
321 1.2951388888888888 33.475 132 1.33 6800 180 45 147
322 1.3065555555555557 32.19638888888888 164 1.57 10354 180 45 188
323 1.3092777777777778 31.762777777777778 156 1.06 12490 180 45 179
324 1.3111666666666668 31.038333333333334 251 1.87 6835 180 45 263
325 1.3109444444444445 32.26111111111111 146 1.65 10484 180 45 166
326 1.3113055555555555 35.22555555555556 97 1.06 5096 180 45 123
327 1.314 33.15972222222222 103 0.57 5714 180 45 113
328 1.3193055555555555 33.028888888888886 288 2.49 5575 180 45 300
329 1.32075 34.858333333333334 104 1.09 4835 180 45 127
330 1.3292777777777778 34.13333333333333 243 1.03 3861 180 45 248
331 1.3315277777777779 32.47083333333334 156 2.7 4877 180 45 173
332 1.3315 33.19361111111111 30 0.46 5643 180 45 65
333 1.3315833333333333 32.945277777777775 227 4.66 4418 180 45 240
334 1.3411111111111111 32.46194444444445 148 0.96 17297 180 45 171
335 1.3415277777777777 35.30833333333333 241 1.51 11731 180 45 279
336 1.343722222222222 33.55833333333333 187 1.41 5342 180 45 204
337 1.3478055555555555 33.420833333333334 211 1.62 5475 180 45 222
338 1.3488055555555556 34.980555555555554 206 1.23 4590 180 45 223
339 1.3513611111111112 33.891666666666666 81 0.47 4310 180 45 107
340 1.35175 33.21666666666667 79 7.57 5421 180 45 103
341 1.356277777777778 33.657222222222224 134 1.1 5331 180 45 150
342 1.3585277777777778 32.197222222222216 253 1.34 10440 180 45 266
343 1.364888888888889 31.18888888888889 203 1.01 17388 180 45 220
344 1.3683055555555557 32.20944444444445 168 0.86 10525 180 45 175
345 1.36975 31.252222222222223 70 0.58 4914 180 45 93
346 1.3708333333333333 34.666666666666664 275 2.95 5140 180 45 300
347 1.3795833333333334 33.96888888888889 376 1.27 5498 180 45 384
348 1.3829166666666668 32.17333333333333 46 0.57 10650 180 45 63
349 1.3831111111111112 33.16777777777777 417 1.25 5372 180 45 424
350 1.3839166666666667 34.134166666666665 182 1.6 5106 180 45 204
351 1.3864444444444444 33.53055555555555 287 6.24 6006 180 45 326
352 1.3884444444444444 33.35 64 0.74 4925 180 45 79
353 1.3905 34.72972222222222 24 0.4 5165 180 45 51
354 1.393 34.57055555555556 279 3.57 6987 180 45 298
355 1.3933888888888888 32.636944444444445 126 1.17 4743 180 45 169
356 1.39775 33.0375 69 0.74 6602 180 45 106
357 1.3982777777777777 32.65 370 1.36 12294 180 45 376
358 1.3993333333333333 32.07472222222223 130 0.83 17555 180 45 142
359 1.3996388888888889 33.856944444444444 125 0.97 5155 180 45 145
360 1.3998055555555555 33.90694444444444 530 5.57 4856 180 45 556
361 1.4009166666666666 31.626944444444444 97 0.6 4626 180 45 117
362 1.4016388888888889 34.009166666666665 101 0.65 6758 180 45 111
363 1.4024999999999999 32.764722222222225 159 3.48 6012 180 45 187
364 1.4044444444444444 35.361111111111114 21 0.79 4694 180 45 32
365 1.404611111111111 34.562777777777775 293 1.77 6936 180 45 329
366 1.4063055555555555 36.077222222222225 136 0.89 7062 180 45 153
367 1.4084999999999999 35.34722222222222 155 1.5 4822 180 45 170
368 1.413361111111111 35.47277777777778 99 0.9 4672 180 45 124
369 1.414111111111111 31.315555555555555 54 0.95 2324 180 45 108
370 1.4141388888888888 32.226111111111116 241 0.98 10587 180 45 250
371 1.4210277777777778 34.36666666666667 234 1.55 4894 180 45 247
372 1.4221944444444445 34.02611111111111 474 11.33 4761 180 45 508
373 1.425138888888889 32.13916666666667 375 5.57 4653 180 45 387
374 1.4361388888888889 31.648055555555555 102 1.21 5098 180 45 125
375 1.436611111111111 32.13777777777778 83 1.44 4195 180 45 104
376 1.4385833333333333 32.63527777777778 73 1.55 4135 180 45 95
377 1.4385000000000001 34.698055555555555 505 9.15 5191 180 45 540
378 1.440611111111111 31.010555555555555 82 0.83 13470 180 45 94
379 1.4421944444444446 34.68833333333333 296 1.28 4663 180 45 306
380 1.4426666666666668 31.615555555555556 367 1.88 13552 180 45 394
381 1.4507222222222222 33.95638888888889 224 1.43 4143 180 45 233
382 1.459861111111111 31.552222222222223 341 17.91 4039 180 45 355
383 1.466611111111111 32.032222222222224 312 7.36 6411 180 45 332
384 1.471888888888889 34.311388888888885 234 2.69 4675 180 45 256
385 1.4727222222222223 34.50138888888889 29 0.59 5244 180 45 42
386 1.4731944444444445 33.96888888888889 104 1.19 4425 180 45 123
387 1.475277777777778 31.491944444444446 376 1.8 16879 180 45 414
388 1.480027777777778 34.35 178 4.18 2661 180 45 193
